DATE_YMD,actual,predicted_prob,predicted_class
2008-01-01,1,0.9997038813731092,1
2008-02-01,1,0.9999293614505178,1
2008-03-01,1,0.9999747539848852,1
2008-04-01,1,0.9999379375032386,1
2008-05-01,1,0.999942690748545,1
2008-06-01,1,0.9998512865387396,1
2008-07-01,1,0.9999775751777655,1
2008-08-01,1,0.9997215977755578,1
2008-09-01,1,0.9993280543112533,1
2008-10-01,1,0.9936413497616473,1
2008-11-01,1,0.9996017057800524,1
2008-12-01,1,0.99996947642052,1
2009-01-01,1,0.999983419580683,1
2009-02-01,1,0.9924161322791375,1
2009-03-01,1,0.999887164272729,1
2009-04-01,1,0.9814675845614997,1
2009-05-01,1,0.988395944118646,1
2009-06-01,1,0.7163542102011754,1
2009-07-01,0,0.00189365670629929,0
2009-08-01,0,0.002969486503605969,0
2009-09-01,0,0.0023365655396937524,0
2009-10-01,0,0.0001696827818971863,0
2009-11-01,0,1.8356924658270187e-05,0
2009-12-01,0,0.00018159533415425548,0
2010-01-01,0,0.00012079551983969238,0
2010-02-01,0,0.0013818802661024517,0
2010-03-01,0,2.130860703119591e-07,0
2010-04-01,0,1.8593290055059903e-07,0
2010-05-01,0,1.6011583407395803e-07,0
2010-06-01,0,8.915819682190822e-06,0
2010-07-01,0,9.200459032190417e-05,0
2010-08-01,0,8.573572178196515e-06,0
2010-09-01,0,7.803451383307898e-05,0
2010-10-01,0,2.353066776226526e-06,0
2010-11-01,0,1.1584313328082153e-06,0
2010-12-01,0,1.0364843899453046e-06,0
2011-01-01,0,4.540539401907738e-05,0
2011-02-01,0,5.403019535399471e-07,0
2011-03-01,0,0.0005793902512499987,0
2011-04-01,0,0.0013435855723669791,0
2011-05-01,0,2.8759929077983166e-06,0
2011-06-01,0,1.6745473771664037e-06,0
2011-07-01,0,8.100806572167542e-06,0
2011-08-01,0,0.00016214503116132367,0
2011-09-01,0,0.0010189625306590037,0
2011-10-01,0,1.3387437840069707e-05,0
2011-11-01,0,0.00018199004936081598,0
2011-12-01,0,8.503152462351956e-07,0
2012-01-01,0,3.6696472347726186e-07,0
2012-02-01,0,6.132035944712946e-07,0
2012-03-01,0,6.15582375810286e-07,0
2012-04-01,0,1.9433519126400265e-07,0
2012-05-01,0,0.0003017785000698221,0
2012-06-01,0,1.4832131283156946e-05,0
2012-07-01,0,6.027619118635641e-06,0
2012-08-01,0,1.8018520560908736e-05,0
2012-09-01,0,2.64769749008421e-07,0
2012-10-01,0,4.2339707590909566e-07,0
2012-11-01,0,7.241961411352701e-07,0
2012-12-01,0,1.4522897785948836e-06,0
2013-01-01,0,0.0007048263112013904,0
2013-02-01,0,1.1795702178556155e-05,0
2013-03-01,0,9.403941694976583e-07,0
2013-04-01,0,9.336600908664253e-07,0
2013-05-01,0,1.4571973551485995e-06,0
2013-06-01,0,7.373322598248673e-07,0
2013-07-01,0,0.0005550212739580288,0
2013-08-01,0,8.205222189654765e-07,0
2013-09-01,0,5.72146829575687e-07,0
2013-10-01,0,0.0002983879465504495,0
2013-11-01,0,7.065642506496555e-07,0
2013-12-01,0,5.381904549206173e-07,0
2014-01-01,0,0.0054293466101294555,0
2014-02-01,0,0.0005912057664267882,0
2014-03-01,0,0.0004112886582335539,0
2014-04-01,0,1.183401273259825e-06,0
2014-05-01,0,7.954217143837316e-07,0
2014-06-01,0,3.264394086280113e-06,0
2014-07-01,0,7.505314599796597e-07,0
2014-08-01,0,4.528362190105937e-06,0
2014-09-01,0,1.5273083230791478e-06,0
2014-10-01,0,1.5466340540372724e-06,0
2014-11-01,0,1.8831851881124573e-06,0
2014-12-01,0,2.3705441287681564e-06,0
2015-01-01,0,7.122776741081185e-06,0
2015-02-01,0,5.227885668991263e-06,0
2015-03-01,0,1.1636112275365317e-05,0
2015-04-01,0,2.6126620144647175e-06,0
2015-05-01,0,1.0593513639092317e-06,0
2015-06-01,0,3.974107189029034e-06,0
2015-07-01,0,1.1368091559967724e-06,0
2015-08-01,0,4.488522469522299e-06,0
2015-09-01,0,3.7332617234182493e-06,0
2015-10-01,0,4.368959387261216e-06,0
2015-11-01,0,9.328563211367336e-05,0
2015-12-01,0,3.1319924205429874e-06,0
2016-01-01,0,2.0291185437442173e-06,0
2016-02-01,0,0.00023475240077164497,0
2016-03-01,0,1.5767899932486072e-06,0
2016-04-01,0,1.3675540319420606e-05,0
2016-05-01,0,1.7977395979432127e-05,0
2016-06-01,0,8.125461037242967e-07,0
2016-07-01,0,1.4002469729199685e-06,0
2016-08-01,0,4.202531149602523e-06,0
2016-09-01,0,7.22204686436147e-07,0
2016-10-01,0,7.881486220478631e-07,0
2016-11-01,0,8.34375862731718e-07,0
2016-12-01,0,1.1328876720868403e-06,0
2017-01-01,0,1.3290409220840923e-06,0
2017-02-01,0,8.84103016366558e-07,0
2017-03-01,0,2.311232717417267e-06,0
2017-04-01,0,1.6416408241249005e-06,0
2017-05-01,0,1.166603852839482e-06,0
2017-06-01,0,8.710716306699474e-07,0
2017-07-01,0,1.6391655629371061e-06,0
2017-08-01,0,7.334814768483165e-07,0
